cardcode;calldate;Result;ShortComment;LongComment;Found;Interest
A.06446;4/9/2019;Παραγγελία;Επανάκληση;ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ ΕΝΑ MAMAS CAKE λΕΥΚΟ ΚΑΙ ΘΕΛΕΙ ΔΕΙΓΜΑ ΓΙΑ CHOCOLATIER DELICECOVER SOKOLATA,;1;1
A.01775;4/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΘΕΛΕΙ ΚΑΤΑΛΟΛΟ ΜΕ ΤΑ ΠΡΟΙΟΝΤΑ  ΨΩΝΙΖΕΙ ΑΠΟ ΝΟΥΣΗ ΧΡΗΣΤΟ.;1;0
A.03996;4/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΨΩΝΙΖΕΙ ΑΠΟ ΝΟΥΣΗ ΧΡΗΣΤΟ ΚΑΙ ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΓΙΑ MAMAS CAKE ΘΕΛΕΙ ΤΟΝ ΚΑΤΑΛΟΓΟ ΝΑ ΔΕΙ ΚΑΙ ΤΑ ΝΕΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΘΑ ΜΑΣ ΕΝΗΜΕΡΩΣΕΙ ΑΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ,;1;0
A.04698;4/9/2019;Ενημέρωση;Ανταγωνισμός;ΨΩΝΙΖΕΙ ΑΠΟ ΖΑΦΕΙΡΑΤΟ ΚΑΙ ΔΟΥΛΕΥΕΙ ΤΟ MAMAS CAKE  ΠΑΙΡΝΕΙ ΤΟ RICH CREAM AΠΟ KODA, KAI ΘΕΛΕΙ ΚΑΤΑΛΟΓΟ ΜΕ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ.;1;0
A.01653;4/9/2019;Ενημέρωση;Κατάλογος προϊόντων;ΘΕΛΕΙ ΔΕΙΓΜΑ ΓΙΑ ΨΩΜΙ oLIKIS ΜΕ ΠΡΟΖΥΜΙ ΠΑΙΡΝΕΙ ΤΣΟΥΡΕΚΙ ΑΠΟ ΑΛΛΟΥ ΚΑΙ ΤΟ MAMAS τΟ ΔΟΥΛΕΥΕ ΠΑΛΙΑ ΘΕΛΕΙ ΟΜΩΣ ΝΑ ΔΕΙ ΤΟΝ ΚΑΤΑΛΟΓΟ ΜΕ ΤΑ ΝΕΑ ΠΡΟΙΟΝΤΑ,;1;0
A.04465;4/9/2019;Ενημέρωση;Ελλειπε ο υπεύθυνος;ΔΕΝ ΑΠΑΝΤΑ ΣΤΟ ΤΗΛ.;0;
A.04023;4/9/2019;Ενημέρωση;Ελλειπε ο υπεύθυνος;ΕΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ.;0;
A.04002;4/9/2019;Ενημέρωση;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ;0;
A.05475;4/9/2019;Ενημέρωση;;ΨΩΝΙΖΕΙ ΑΠΟ ΠΥΡΡΟ ΑΛΛΑ ΘΕΛΕΙ ΚΑΛΥΤΕΡΕΣ ΤΙΜΕΣ. ΠΑΙΡΝΕΙ ΜAMAS CAKE TS ORIENTAL KAI TWIN CHOCO, ΘΕΛΕΙ ΝΑ ΤΟΥ ΣΤΕΙΛΟΥΜΕ ΚΑΙ ΚΑΤΑΛΟΓΟ ΜΕ ΤΑ ΠΡΟΙΟΙΝΤΑ ΜΑΣ,;1;0
A.01767;4/9/2019;Παραγγελία Δείγματος;Κατάλογος προϊόντων;ΕΝΗΜΕΡΩΘΗΚΕ ΓΙΑ ΝΕΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΕΠΙΘΥΜΕΙ ΔΕΙΓΜΑ ΓΙΑ ΖΕΣΤΗ ΚΡΕΜΑ ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ ΚΑΙ ΝΕΟ ΚΑΤΑΛΟΓΟ, ΠΑΙΡΝΕΙ ΗΔΗ ΚΡΕΜΑ ΑΠΟ GREDIN ΚΑΙ ΘΕΛΕΙ Ο ΠΩΛΗΤΗΣ ΜΑΖΙ ΜΕ ΤΕΧΝΙΚΟ ΝΑ ΠΕΡΑΣΟΥΝ ΑΠ Τ Ο ΜΑΓΑΖΙ.;1;0
